Date,Cases,Cumulative_cases,Country
2022-06-20,0,177,Canada
2022-06-21,33,210,Canada
2022-06-22,0,210,Canada
2022-06-23,25,235,Canada
2022-06-24,0,235,Canada
2022-06-25,0,235,Canada
2022-06-26,0,235,Canada
2022-06-27,22,257,Canada
2022-06-28,18,275,Canada
2022-06-29,12,287,Canada
2022-06-30,0,287,Canada
2022-07-01,0,287,Canada
2022-07-02,25,312,Canada
2022-07-03,0,312,Canada
2022-07-04,37,349,Canada
2022-07-05,0,349,Canada
2022-07-06,21,370,Canada
2022-07-07,0,370,Canada
2022-07-08,5,375,Canada
2022-07-09,3,378,Canada
2022-07-10,0,378,Canada
2022-07-11,55,433,Canada
2022-07-12,0,433,Canada
2022-04-10,6,6,Central African Republic
2022-04-11,0,6,Central African Republic
2022-04-12,0,6,Central African Republic
2022-04-13,0,6,Central African Republic
2022-04-14,0,6,Central African Republic
2022-04-15,0,6,Central African Republic
2022-04-16,0,6,Central African Republic
2022-04-17,0,6,Central African Republic
2022-04-18,0,6,Central African Republic
2022-04-19,0,6,Central African Republic
2022-04-20,0,6,Central African Republic
2022-04-21,0,6,Central African Republic
2022-04-22,0,6,Central African Republic
2022-04-23,0,6,Central African Republic
2022-04-24,0,6,Central African Republic
2022-04-25,0,6,Central African Republic
2022-04-26,0,6,Central African Republic
2022-04-27,0,6,Central African Republic
2022-04-28,0,6,Central African Republic
2022-04-29,0,6,Central African Republic
2022-04-30,0,6,Central African Republic
2022-05-01,0,6,Central African Republic
2022-05-02,0,6,Central African Republic
2022-05-03,0,6,Central African Republic
2022-05-04,0,6,Central African Republic
2022-05-05,0,6,Central African Republic
2022-05-06,0,6,Central African Republic
2022-05-07,0,6,Central African Republic
2022-05-08,0,6,Central African Republic
2022-05-09,0,6,Central African Republic
2022-05-10,0,6,Central African Republic
2022-05-11,0,6,Central African Republic
2022-05-12,0,6,Central African Republic
2022-05-13,0,6,Central African Republic
2022-05-14,0,6,Central African Republic
2022-05-15,0,6,Central African Republic
2022-05-16,0,6,Central African Republic
2022-05-17,0,6,Central African Republic
2022-05-18,0,6,Central African Republic
2022-05-19,0,6,Central African Republic
2022-05-20,0,6,Central African Republic
2022-05-21,0,6,Central African Republic
2022-05-22,2,8,Central African Republic
2022-05-23,0,8,Central African Republic
2022-05-24,0,8,Central African Republic
2022-05-25,0,8,Central African Republic
2022-05-26,0,8,Central African Republic
2022-05-27,0,8,Central African Republic
2022-05-28,0,8,Central African Republic
