date,country,count
2022-05-11,Portugal,2
2022-05-12,Portugal,7
2022-05-13,Portugal,2
2022-05-14,Portugal,4
2022-05-15,Portugal,1
2022-05-16,Portugal,4
2022-05-17,Portugal,4
2022-05-18,Portugal,8
2022-05-19,Portugal,7
2022-05-20,Portugal,13
2022-05-21,Portugal,5
2022-05-22,Portugal,5
2022-05-23,Portugal,8
2022-05-24,Portugal,16
2022-05-25,Portugal,8
2022-05-26,Portugal,7
2022-05-27,Portugal,7
2022-05-28,Portugal,6
2022-05-29,Portugal,7
2022-05-30,Portugal,9
2022-05-31,Portugal,15
2022-06-01,Portugal,7
2022-06-02,Portugal,10
2022-06-03,Portugal,6
2022-06-04,Portugal,4
2022-06-05,Portugal,10
2022-06-06,Portugal,4
2022-06-07,Portugal,8
2022-06-08,Portugal,11
2022-06-09,Portugal,2
2022-06-10,Portugal,5
2022-06-11,Portugal,6
2022-06-12,Portugal,5
2022-06-13,Portugal,5
2022-06-14,Portugal,4
2022-06-15,Portugal,12
2022-06-16,Portugal,5
2022-06-17,Portugal,4
2022-06-18,Portugal,6
2022-06-19,Portugal,6
2022-06-20,Portugal,1
2022-06-21,Portugal,4
2022-06-22,Portugal,7
2022-06-23,Portugal,2
2022-06-24,Portugal,2
2022-06-25,Portugal,1
2022-06-26,Portugal,1
2022-06-27,Portugal,6
2022-06-28,Portugal,2
2022-06-29,Portugal,2
2022-06-30,Portugal,1
2022-07-01,Portugal,1
2022-07-06,Portugal,1
2022-06-02,Romania,1
2022-06-09,Romania,2
2022-06-12,Romania,1
2022-06-15,Romania,1
2022-06-17,Romania,1
2022-06-20,Romania,1
2022-06-21,Romania,2
2022-06-22,Romania,1
2022-06-23,Romania,1
2022-06-24,Romania,1
2022-06-27,Romania,2
2022-05-18,Slovenia,1
2022-05-19,Slovenia,1
2022-05-23,Slovenia,1
2022-05-26,Slovenia,1
2022-05-29,Slovenia,1
2022-06-02,Slovenia,1
2022-06-07,Slovenia,1
2022-06-17,Slovenia,1
2022-06-19,Slovenia,1
2022-06-20,Slovenia,1
2022-06-25,Slovenia,1
2022-06-27,Slovenia,1
2022-06-28,Slovenia,1
2022-06-29,Slovenia,2
2022-07-02,Slovenia,2
2022-04-26,Spain,1
2022-04-27,Spain,1
2022-05-02,Spain,4
